BenchmarkInit,       1,14367399672 ns/op,1732536376 B/op,21941306 allocs/op
BenchmarkGeneExpression,     500,   4902803 ns/op,  346093 B/op,    1690 allocs/op
BenchmarkAverageDiff,       1,1003923492 ns/op,  324424 B/op,    1739 allocs/op
BenchmarkStd,     500,   3220342 ns/op,  328028 B/op,    1720 allocs/op
BenchmarkVariance,     500,   3258162 ns/op,  328436 B/op,    1723 allocs/op
BenchmarkSetScale,   20000,     86927 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    957524 ns/op,  285261 B/op,    1564 allocs/op
BenchmarkInit,       1,14237345176 ns/op,1732495800 B/op,21941492 allocs/op
BenchmarkGeneExpression,     500,   5010135 ns/op,  346165 B/op,    1690 allocs/op
BenchmarkAverageDiff,       1,1004405303 ns/op,  370024 B/op,    1743 allocs/op
BenchmarkStd,     500,   3202127 ns/op,  328113 B/op,    1720 allocs/op
BenchmarkVariance,     500,   3172873 ns/op,  327976 B/op,    1723 allocs/op
BenchmarkSetScale,   20000,     81908 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    968907 ns/op,  285238 B/op,    1564 allocs/op
BenchmarkInit,       1,14225351558 ns/op,1732491128 B/op,21941498 allocs/op
BenchmarkGeneExpression,     500,   5046414 ns/op,  346499 B/op,    1690 allocs/op
BenchmarkAverageDiff,       1,1004351017 ns/op,  326376 B/op,    1738 allocs/op
BenchmarkStd,     500,   3289227 ns/op,  328192 B/op,    1720 allocs/op
BenchmarkVariance,     500,   3136976 ns/op,  328055 B/op,    1723 allocs/op
BenchmarkSetScale,   20000,     81711 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    973801 ns/op,  285229 B/op,    1564 allocs/op
BenchmarkInit,       1,13844678407 ns/op,1732559960 B/op,21942213 allocs/op
BenchmarkGeneExpression,     500,   5171980 ns/op,  346409 B/op,    1690 allocs/op
BenchmarkAverageDiff,       1,1003751140 ns/op,  325768 B/op,    1738 allocs/op
BenchmarkStd,     500,   3122491 ns/op,  328171 B/op,    1720 allocs/op
BenchmarkVariance,     500,   3108220 ns/op,  328069 B/op,    1723 allocs/op
BenchmarkSetScale,   20000,     81114 ns/op,    7935 B/op,      87 allocs/op
BenchmarkBackground,    2000,    968971 ns/op,  285237 B/op,    1564 allocs/op
BenchmarkInit,       1,13990155254 ns/op,1732585176 B/op,21941954 allocs/op
BenchmarkGeneExpression,     500,   5202227 ns/op,  346536 B/op,    1690 allocs/op
BenchmarkAverageDiff,       1,1004871943 ns/op,  326328 B/op,    1737 allocs/op
BenchmarkStd,     500,   3111939 ns/op,  328205 B/op,    1720 allocs/op
BenchmarkVariance,     500,   3093508 ns/op,  328019 B/op,    1723 allocs/op
BenchmarkSetScale,   20000,     77767 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    962555 ns/op,  285224 B/op,    1564 allocs/op
BenchmarkInit,       1,13922071451 ns/op,1732666712 B/op,21942346 allocs/op
BenchmarkGeneExpression,     500,   5186869 ns/op,  346087 B/op,    1690 allocs/op
BenchmarkAverageDiff,       1,1004624739 ns/op,  326200 B/op,    1736 allocs/op
BenchmarkStd,     500,   3109773 ns/op,  327953 B/op,    1720 allocs/op
BenchmarkVariance,     500,   3110844 ns/op,  327781 B/op,    1722 allocs/op
BenchmarkSetScale,   20000,     81693 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    968118 ns/op,  285233 B/op,    1564 allocs/op
BenchmarkInit,       1,13816233472 ns/op,1732627672 B/op,21942134 allocs/op
BenchmarkGeneExpression,     500,   5207534 ns/op,  346158 B/op,    1690 allocs/op
BenchmarkAverageDiff,       1,1004874520 ns/op,  328328 B/op,    1739 allocs/op
BenchmarkStd,     500,   3128780 ns/op,  328007 B/op,    1720 allocs/op
BenchmarkVariance,     500,   3135047 ns/op,  327849 B/op,    1723 allocs/op
BenchmarkSetScale,   20000,     81023 ns/op,    7934 B/op,      87 allocs/op
BenchmarkBackground,    2000,    964670 ns/op,  285225 B/op,    1564 allocs/op
