"Index","Probe_Id","Symbol"
"181","ILMN_1882485",""
"182","ILMN_1811335","LOC653472"
"183","ILMN_1746378","GHDC"
"184","ILMN_1658074","ZCCHC13"
"185","ILMN_1792571","ARHGEF15"
"186","ILMN_1760922","GIT2"
"187","ILMN_2355776","GIT2"
"188","ILMN_1761348","ZNF530"
"189","ILMN_2234710","C12orf60"
"190","ILMN_2234709","C12orf60"
"191","ILMN_1838179",""
"192","ILMN_2388965","GEFT"
"193","ILMN_1861392",""
"194","ILMN_1665887","WDR61"
"195","ILMN_1700679","LOC649661"
"196","ILMN_2057836","RNU2-1"
"197","ILMN_1797975","CXCR3"
"198","ILMN_1870737",""
"199","ILMN_2154053","FVT1"
"200","ILMN_2154052","FVT1"
"201","ILMN_1850881",""
"202","ILMN_1888359",""
"203","ILMN_1869651",""
"204","ILMN_1859863",""
"205","ILMN_1665144","LOC653468"
"206","ILMN_1661657","TRPC2"
"207","ILMN_2127007","TRPC2"
"208","ILMN_2184109","SLC34A2"
"209","ILMN_1660541","PCNXL2"
"210","ILMN_2085760","ARPC1B"
"211","ILMN_1885152",""
"212","ILMN_1852349",""
"213","ILMN_1873650",""
"214","ILMN_1740545","LOC652286"
"215","ILMN_1653496","GLUL"
"216","ILMN_1765208","GLUL"
"217","ILMN_1656913","MDH1"
"218","ILMN_1656837","RBP1"
"219","ILMN_1894535",""
"220","ILMN_1888264",""
"221","ILMN_1656196","E2F6"
"222","ILMN_1700923","ATG4C"
"223","ILMN_2383727","ATG4C"
"224","ILMN_1817144",""
"225","ILMN_1673605","PRSSL1"
"226","ILMN_2285708","C6orf48"
"227","ILMN_2391765","C6orf48"
"228","ILMN_2408968","UEVLD"
"229","ILMN_1657627","CBFA2T3"
"230","ILMN_1915908",""
"231","ILMN_1892499",""
"232","ILMN_1792622","LOC391209"
"233","ILMN_2097997","IFNE1"
"234","ILMN_1734781","IFNE1"
"235","ILMN_2143011","DLEU2L"
"236","ILMN_1743784","SHMT1"
"237","ILMN_1811933","SHMT1"
"238","ILMN_1732575","SEC14L1"
"239","ILMN_2176755","KIAA0895L"
"240","ILMN_1797102","ST6GAL2"
"241","ILMN_1795728","LOC651495"
"242","ILMN_1779915","LOC652115"
"243","ILMN_1884793",""
"244","ILMN_1850461",""
"245","ILMN_1685002","RCE1"
