Index, Probe_Id, Symbol
261, 171678, 'OR8J3'
262, 231725, ''
263, 232577, ''
264, 179837, 'DCP2'
265, 223990, 'NEUROG2'
266, 394176, ''
267, 206193, 'WDFY3'
268, 10687190, 'TAS2R49'
269, 138411, 'MRPL16'
270, 204019, 'ASTL'
271, 141132, ''
272, 653518, 'OR2M2'
273, 169987, 'NXF2'
274, 120362, 'SCNN1B'
275, 160306, ''
276, 107339, 'GFER'
277, 212913, ''
278, 173362, 'AKAP8L'
279, 109505, 'CCR4'
280, 281755, ''
281, 167266, ''
282, 184788, 'C16orf9'
283, 165425, 'CENPE'
284, 166353, ''
285, 232035, 'KIAA1729'
286, 125335, 'C1D'
287, 191854, 'FUT3'
288, 151697, 'KRTHB5'
289, 147148, 'HT017'
290, 159898, ''
291, 110718, ''
292, 232729, ''
293, 218754, ''
294, 222023, 'USP10'
295, 108274, 'CNTN4'
296, 693925, ''
297, 216981, 'TAS2R7'
298, 124129, 'ZNF230'
299, 188291, 'PLCG2'
300, 191777, ''
301, 137284, ''
302, 231511, ''
303, 128985, 'C6orf93'
304, 201484, 'PARP16'
305, 234690, ''
306, 147920, 'CPEB1'
307, 112591, 'GPR97'
308, 189689, 'FGF17'
309, 117465, ''
310, 230284, ''
311, 102521, 'CR1,CR1L'
312, 164714, 'SELENBP1'
313, 106022, 'GTF3A'
314, 115418, 'LZTS2'
315, 107555, ''
316, 162611, 'CD59'
317, 162043, ''
318, 160384, ''
319, 142089, 'TMOD4'
320, 185066, 'ITGB4BP'
321, 123375, 'GNMT'
322, 174392, 'THBS4'
323, 146527, 'ENDOG'
324, 186744, 'S100G'
325, 167436, 'DDX20'
326, 121242, 'PARN'
327, 105900, 'LOC51315'
328, 228198, 'OR1J2'
329, 125397, 'GSTM5'
330, 236209, ''
331, 211410, 'ZNF573'
332, 147521, 'TPI1'
333, 157739, ''
334, 232401, ''
335, 197797, ''
336, 105064, 'PEX12'
337, 141498, 'GLIS1'
338, 165506, ''
339, 148548, ''
340, 131262, ''
341, 188256, ''
342, 126221, ''
343, 122466, 'CA13'
344, 151175, ''
345, 194433, 'SLC22A11'
346, 230208, ''
347, 148033, ''
348, 177496, 'ZNF559'
349, 705043, ''
350, 100814, ''
351, 176065, ''
352, 202801, 'NDP'
353, 119288, 'ZNFN1A4'
354, 236007, ''
355, 622313, ''
356, 139183, 'FAM49B'
357, 202598, 'CADPS'
358, 482016, ''
359, 158269, 'TP53'
360, 155712, 'SHC3'
361, 489842, 'EIF4B'
362, 184019, ''
363, 671185, ''
364, 155137, 'C1orf36'
365, 152827, ''
366, 190980, 'NR1H2'
367, 169639, 'DCTN6'
368, 180219, ''
369, 107117, 'GLA'
370, 110453, 'IL4I1'
